iter	Passed	Remaining
0	168	84024
1	219	54584
2	267	44313
3	315	39182
4	369	36581
5	421	34710
6	469	33031
7	517	31851
8	565	30864
9	598	29330
10	648	28843
11	696	28332
12	778	29155
13	826	28702
14	873	28241
15	921	27861
16	945	26858
17	961	25736
18	1007	25515
19	1041	24988
20	1080	24644
21	1129	24538
22	1176	24401
23	1224	24291
24	1270	24130
25	1316	24009
26	1364	23912
27	1413	23820
28	1460	23715
29	1508	23632
30	1561	23628
31	1621	23718
32	1685	23850
33	1748	23961
34	1805	23991
35	1865	24039
36	1918	24012
37	1969	23947
38	2030	23996
39	2081	23937
40	2133	23890
41	2173	23698
42	2230	23710
43	2299	23835
44	2368	23949
45	2430	23992
46	2481	23920
47	2508	23617
48	2560	23564
49	2615	23537
50	2646	23302
51	2697	23237
52	2746	23166
53	2798	23116
54	2849	23056
55	2898	22978
56	2948	22916
57	2998	22853
58	3049	22791
59	3097	22717
60	3148	22657
61	3198	22597
62	3251	22552
63	3419	23296
64	3493	23377
65	3582	23558
66	3658	23642
67	3735	23733
68	3813	23818
69	3890	23900
70	3971	23999
71	4061	24145
72	4139	24214
73	4226	24331
74	4307	24407
75	4396	24530
76	4477	24596
77	4556	24651
78	4633	24693
79	4710	24728
80	4787	24766
81	4866	24805
82	4906	24649
83	4986	24696
84	5066	24736
85	5143	24758
86	5220	24783
87	5298	24808
88	5376	24826
89	5454	24846
90	5534	24873
91	5618	24916
92	5701	24952
93	5779	24964
94	5857	24970
95	5947	25030
96	6029	25050
97	6135	25166
98	6232	25246
99	6307	25230
100	6436	25427
101	6522	25450
102	6608	25472
103	6689	25472
104	6764	25445
105	6840	25426
106	6928	25447
107	7008	25437
108	7097	25461
109	7182	25465
110	7259	25440
111	7286	25241
112	7359	25204
113	7429	25157
114	7502	25118
115	7572	25067
116	7628	24973
117	7699	24924
118	7770	24878
119	7840	24829
120	7912	24782
121	7985	24743
122	8057	24696
123	8127	24643
124	8200	24601
125	8274	24560
126	8346	24514
127	8417	24464
128	8499	24444
129	8551	24340
130	8629	24307
131	8716	24301
132	8793	24263
133	8874	24238
134	8949	24197
135	9019	24139
136	9093	24094
137	9162	24035
138	9232	23977
139	9300	23915
140	9375	23870
141	9449	23822
142	9542	23822
143	9660	23883
144	9738	23841
145	9825	23822
146	9914	23808
147	9998	23779
148	10081	23748
149	10159	23705
150	10230	23645
151	10312	23610
152	10394	23575
153	10513	23621
154	10601	23597
155	10679	23550
156	10750	23486
157	10823	23427
158	10954	23493
159	11060	23502
160	11160	23499
161	11277	23528
162	11350	23467
163	11422	23402
164	11518	23386
165	11613	23367
166	11687	23305
167	11761	23242
168	11846	23203
169	11931	23161
170	12007	23102
171	12083	23042
172	12157	22979
173	12230	22914
174	12299	22841
175	12369	22771
176	12442	22705
177	12515	22640
178	12582	22564
179	12651	22492
180	12719	22416
181	12786	22341
182	12856	22270
183	12924	22196
184	12994	22125
185	13061	22049
186	13130	21977
187	13204	21913
188	13278	21849
189	13353	21788
190	13449	21758
191	13524	21695
192	13597	21629
193	13670	21563
194	13746	21500
195	13821	21437
196	13897	21374
197	13977	21319
198	14052	21256
199	14126	21190
200	14199	21122
201	14273	21056
202	14346	20989
203	14419	20922
204	14500	20866
205	14574	20800
206	14648	20734
207	14723	20669
208	14796	20601
